"restaurant_id","location_type","cuisine_type","delivery","average_daily_walk_ins","monthly_marketing_spend","seating_capacity","avg_check","star_rating","years_open","competitors_nearby","website_visits","weekly_reservations","labor_hours","number_of_tables","table_turnover","food_cost_percent","avg_ticket_time","catering_inquiries","monthly_revenue"
2182,"suburban","asian","yes",79,1918,104,23.64,3,4.2,6,769,96,1682,45,0.96,0.265,17.9,6,109710
2312,"suburban","mexican","yes",85,2139,77,19.98,3,1.6,8,759,100,1627,39,0.8,0.283,16,12,88828
4576,"suburban","italian","yes",71,1805,76,50.4,3,8.7,7,711,77,1588,38,1,0.33,16.3,15,108744
4834,"tourist","italian","no",110,4230,67,92.71,4,2.2,8,1066,174,1702,39,1.85,0.309,21.4,20,147566
196,"suburban","mexican","no",86,2606,71,26.42,4,1.6,4,839,116,1718,33,1.22,0.242,18.6,20,84874
2770,"downtown","american","no",117,2052,106,48.8,3,2.8,9,919,138,1946,51,0.8,0.359,14.5,21,117231
3302,"downtown","american","no",125,3846,93,152.99,4,4.7,10,1181,166,1909,50,1.85,0.319,24.1,30,125060
4290,"downtown","mexican","yes",31,500,73,32.33,2.5,1.2,2,395,60,1117,37,0.96,0.263,16.6,11,112993
1273,"suburban","italian","yes",64,2956,100,38.12,3,5.6,4,756,94,1590,48,0.9,0.331,16.3,9,110935
2091,"tourist","asian","yes",65,2267,123,32.65,4,5,4,692,132,1817,51,0.8,0.275,14.3,18,145141
2388,"suburban","asian","no",38,910,101,21.97,3,12.9,3,424,52,1559,43,0.8,0.3,14.8,11,89242
4287,"tourist","italian","yes",162,4430,95,221.42,4,6.2,11,1346,188,2004,52,1.85,0.353,25.6,25,191800
2008,"downtown","american","no",94,3271,74,128.53,4,6.5,3,1008,119,1635,35,1.46,0.345,17.8,18,123940
4621,"suburban","american","yes",56,1249,95,38.93,2.5,3.3,4,595,67,1605,39,0.88,0.25,17.6,13,94382
2992,"tourist","asian","yes",72,2266,55,70.49,3.5,0.5,6,802,93,1286,30,1.11,0.269,20.5,11,134072
1807,"tourist","mexican","no",112,4380,109,28.24,3.5,2.4,5,1144,144,1921,39,0.8,0.199,17.2,19,119491
1493,"suburban","italian","yes",106,5490,106,49.94,4,3.6,10,1286,133,1921,48,2.04,0.308,21.6,17,126263
1361,"tourist","american","yes",42,2315,79,152.37,4,5.2,3,687,108,1639,37,1.16,0.307,20,11,151390
3961,"downtown","american","no",168,4137,116,76.78,4,3.2,9,1353,207,2057,57,1.66,0.33,23.9,24,129661
1381,"tourist","italian","no",76,2392,113,67.81,4,18.8,4,798,105,1793,48,1.36,0.351,15.8,14,133754
3848,"suburban","italian","yes",34,500,97,64.6,3.5,1.8,2,383,80,1404,40,0.8,0.323,19.6,9,98995
1915,"downtown","italian","yes",49,1467,66,87.09,4.5,7.5,2,614,112,1255,32,1.48,0.305,19.3,20,117909
4539,"suburban","american","yes",15,500,33,18,3.5,8.2,0,383,30,912,22,0.8,0.335,10.2,3,78598
3945,"suburban","italian","no",94,3018,45,99.46,3.5,0.5,8,936,106,1355,27,1.14,0.3,24.9,18,102595
3175,"suburban","mexican","yes",116,3334,95,21.61,3.5,0.5,10,1052,151,1973,48,0.87,0.241,18.7,19,98182
2080,"tourist","american","yes",79,2836,78,72.67,4,11.3,5,899,118,1484,30,1.17,0.326,19.8,22,151941
1830,"suburban","italian","yes",60,1825,44,38.98,3,0.5,2,721,95,1153,31,1.2,0.281,14.5,10,111477
2289,"tourist","mexican","yes",107,1956,70,116.21,3.5,1.3,3,851,160,1659,37,1.01,0.231,22.5,25,152923
2319,"downtown","mexican","no",70,2120,83,83.31,2.5,5.4,3,749,89,1447,39,0.8,0.298,21.2,20,112650
1673,"tourist","italian","yes",122,2785,107,135.01,4,2.7,5,956,174,1897,47,1.36,0.321,21.5,26,181394
3605,"tourist","mexican","yes",177,5082,130,53.5,3.5,5.8,13,1443,205,2112,54,1.46,0.255,24.1,23,160774
2344,"suburban","mexican","no",53,2705,76,25.66,3.5,0.5,3,789,60,1535,36,1.08,0.248,15.3,13,84913
2113,"tourist","mexican","yes",102,2493,78,89.97,3.5,9.7,5,948,155,1666,42,1.54,0.224,18.8,16,149387
520,"downtown","mexican","yes",101,2834,86,32.84,3.5,4.9,4,938,117,1597,40,1.47,0.256,20.6,15,126417
683,"suburban","american","no",44,2595,72,30.66,3.5,9.8,4,648,83,1391,37,1.3,0.323,14.5,12,73664
2535,"tourist","asian","yes",122,2715,102,61.46,4,10.3,8,1016,161,1834,45,1.94,0.254,19.5,18,146326
2370,"suburban","american","no",19,500,53,18,3,8.4,1,369,56,1162,25,0.8,0.28,12.7,3,67904
2356,"tourist","asian","yes",67,2570,85,51.79,3.5,17.1,5,759,101,1493,39,1.35,0.296,17.2,12,131245
1483,"suburban","american","yes",69,992,124,21,4,6.4,3,581,102,1748,56,1.03,0.266,14.2,11,115328
2999,"suburban","mexican","yes",21,500,68,27.88,2.5,4.1,0,295,40,1232,33,0.8,0.259,12.2,7,82255
1121,"downtown","italian","yes",115,4279,117,114.62,4,1,7,1141,136,2095,55,1.44,0.312,22,26,152343
4833,"tourist","asian","no",66,1491,74,97.68,3.5,4,8,559,110,1483,36,1.11,0.295,19.3,7,139543
871,"tourist","mexican","no",183,5483,126,67.97,4,12,14,1569,207,2202,56,2.01,0.223,23.8,24,141277
4150,"suburban","mexican","yes",61,1180,91,32.76,3.5,6.8,3,588,103,1516,39,0.8,0.217,15.5,10,97026
2607,"downtown","mexican","no",90,1811,94,29.47,3,9.8,4,726,86,1711,43,1,0.264,16.6,17,100761
844,"downtown","mexican","yes",97,1850,46,51.01,4,0.5,4,861,122,1550,29,1.49,0.247,20.7,19,115820
2851,"tourist","american","yes",86,2580,99,148.85,2.5,8.9,5,815,95,1735,48,0.8,0.389,17.9,23,161174
2934,"tourist","mexican","yes",143,4154,73,53.88,2.5,5.2,6,1237,159,1649,37,1.08,0.244,19.8,22,147059
835,"tourist","asian","yes",125,3289,98,626.06,3,3,11,1034,162,2058,45,1.65,0.277,40.4,40,85056
392,"suburban","mexican","yes",107,3309,88,42.39,3,7.3,7,1064,123,1728,44,0.98,0.257,18.5,13,108567
2692,"suburban","mexican","no",31,2165,65,18.33,2.5,7.4,2,494,55,1235,27,0.8,0.253,17.7,14,77801
1932,"tourist","american","no",89,1842,63,94.77,3.5,8.5,8,778,123,1533,35,1.6,0.347,24.5,25,129207
3337,"downtown","american","yes",73,2706,87,201.97,4,5.2,1,885,111,1488,38,1.37,0.245,22.6,26,126223
864,"suburban","mexican","yes",112,2245,116,41.56,4,4.4,7,923,140,1798,58,1.51,0.269,19.5,26,103043
3374,"tourist","italian","yes",132,3985,115,161.91,4,11.5,8,1155,163,2242,50,1.78,0.346,26.4,26,178969
3392,"downtown","asian","yes",80,3314,111,68.74,4,11.6,4,850,110,1822,49,1.51,0.261,18.8,16,129810
3261,"downtown","american","no",87,2467,84,133.49,3.5,8.8,5,925,112,1846,38,1.24,0.305,18.4,22,124783
2636,"tourist","asian","yes",80,2074,47,59.64,3.5,5.1,14,808,124,1308,28,1.66,0.319,19.5,16,132777
3006,"suburban","italian","yes",76,1826,84,63.62,3.5,5.4,6,665,78,1541,42,1.11,0.319,22.4,14,106992
3608,"suburban","mexican","yes",101,2908,52,70.52,3,9.6,5,973,130,1336,28,1.21,0.234,18.4,20,104229
2473,"downtown","american","no",90,2840,134,73.44,3,8.3,5,948,119,1730,58,0.8,0.251,13.8,21,118790
4397,"suburban","american","yes",15,599,98,34.9,3,17.6,3,347,51,1534,35,0.8,0.286,12.5,15,85287
2056,"tourist","asian","no",143,2981,127,88.37,4,14.3,10,1051,176,2062,59,1.61,0.262,18.1,20,149520
3376,"downtown","mexican","no",65,2119,126,122.43,3.5,9.2,2,700,88,1851,56,0.93,0.185,17,18,122692
4182,"tourist","mexican","yes",128,2592,93,35.68,4,0.5,9,962,156,1740,44,1.59,0.284,24,22,141475
3301,"downtown","american","yes",66,2096,66,25.25,3.5,2,3,739,107,1506,31,1.37,0.32,14.9,20,110909
739,"suburban","italian","yes",92,2475,99,62.02,3.5,12.2,5,885,126,1864,46,1.74,0.294,17.4,18,109870
514,"downtown","asian","no",145,2594,76,94.14,3,5.9,8,1029,187,1737,42,1.02,0.255,17.6,31,124427
